town_code,town_name,district_code,state_code
800779,Mendu (NP),144,9
800780,Hathras (NPP + OG),144,9
800780,Hathras (NPP),144,9
800781,Mursan (NP),144,9
800782,Sadabad (NP),144,9
800783,Sahpau (NP),144,9
800784,Kosi Kalan (NPP + OG),145,9
800784,Kosi Kalan (NPP),145,9
800785,Nandgaon (NP),145,9
800786,Barsana (NP),145,9
800787,Chhata (NP),145,9
800788,Chaumuhan (NP),145,9
800789,Bajna (NP),145,9
800790,Raya (NP),145,9
800791,Gokul (NP),145,9
800792,Mahaban (NP),145,9
800793,Baldeo (NP),145,9
800794,Farah (NP),145,9
800795,Vrindavan (NPP),145,9
800796,Radhakund (NP),145,9
800797,Govardhan (NP),145,9
800798,Saunkh (NP),145,9
800799,Mathura (NPP),145,9
800800,Mathura (CB),145,9
800801,Etmadpur (NPP),146,9
800802,Dayalbagh (NP),146,9
800803,Swamibagh (NP),146,9
800804,Agra (M Corp.),146,9
800805,Agra (CB),146,9
800806,Achhnera (NPP),146,9
800807,Kiraoali (NP),146,9
800808,Fatehpur Sikri (NPP),146,9
800809,Jagner (NP),146,9
800810,Kheragarh (NP),146,9
800811,Shamsabad (NPP),146,9
800812,Fatehabad (NP),146,9
800813,Pinahat (NP),146,9
800814,Bah (NPP),146,9
800815,Tundla (NPP),147,9
800816,Firozabad (NPP),147,9
800817,Fariha (NP),147,9
800818,Jasrana (NP),147,9
800819,Shikohabad (NPP),147,9
800820,Sirsaganj (NPP + OG),147,9
800820,Sirsaganj (NPP),147,9
800821,Kuraoali (NP),148,9
800822,Jyoti Khuriya (NP),148,9
800823,Ghiraur (NP),148,9
800824,Mainpuri (NPP + OG),148,9
800824,Mainpuri (NPP),148,9
800825,Karhal (NP),148,9
800826,Bhogaon (NP),148,9
800827,Bewar (NP),148,9
800828,Kusmara (NP),148,9
800829,Kishni (NP),148,9
800830,Gawan (NP),149,9
800831,Babrala (NP),149,9
800832,Gunnaur (NP),149,9
800833,Islamnagar (NP),149,9
800834,Faizganj (NP),149,9
800835,Mundiya (NP),149,9
800836,Bisauli (NPP),149,9
800837,Saidpur (NP),149,9
800838,Wazirganj (NP),149,9
800839,Rudayan (NP),149,9
800840,Bilsi (NPP),149,9
800841,Sahaswan (NPP),149,9
800842,Kachhla (NP),149,9
